Location,Bosniaks,Croats,Serbs,Other
Šamac,7.30,14.00,76.70,1.90
Šekovići,1.60,0.10,97.90,0.40
Šipovo,6.10,0.30,93.00,0.60
Široki Brijeg,0.00,99.60,0.20,0.20
Teočak,99.60,0.10,0.10,0.20
Teslić,18.60,3.70,75.40,2.30
Tešanj,94.00,3.40,0.50,2.10
Tomislavgrad,7.80,91.80,0.10,0.30
Travnik,66.70,28.20,1.20,3.90
Trebinje,3.40,1.00,93.50,2.10
Trnovo (BiH),91.60,0.30,6.50,1.70
Trnovo (RS),40.80,0.70,57.50,1.00
Tuzla,72.80,13.90,3.00,10.30
Ugljevik,13.90,0.30,85.40,0.40
Usora,5.70,92.30,0.90,1.10
Vareš,61.30,31.70,2.10,4.90
Velika Kladuša,80.60,1.60,0.40,17.50
Visoko,91.90,1.40,0.70,6.00
Višegrad,9.80,0.30,87.50,2.40
Vitez,40.70,55.50,1.30,2.50
Vlasenica,32.80,0.30,66.20,0.70
Vogošća,92.40,1.20,2.10,4.30
Vukosavlje,46.70,16.60,32.50,4.20
Zavidovići,91.00,3.30,1.60,4.10
Zenica,84.00,7.50,2.20,6.30
Zvornik,33.70,0.20,65.50,0.50
Žepče,38.80,58.90,1.70,0.60
Živinice,91.90,4.30,0.40,3.30
Kanton: Tuzlanski,88.20,5.30,1.60,4.90
Kanton: Zen.-Dobojski,82.20,12.00,1.50,4.30
